16-bit UUID;Company name
0xFCD8;Appex Factory S.L.
0xFCD9;Huso, Inc
0xFCDA;Draeger
0xFCDB;aconno GmbH
0xFCDC;Amazon.com Services, LLC
0xFCDD;Mobilaris AB
0xFCDE;ARCTOP, Inc.
0xFCDF;NIO USA, Inc.
0xFCE0;Akciju sabiedriba "SAF TEHNIKA"
0xFCE1;Sony Group Corporation
0xFCE2;Baracoda Daily Healthtech
0xFCE3;Smith & Nephew Medical Limited
0xFCE4;Samsara Networks, Inc
0xFCE5;Samsara Networks, Inc
0xFCE6;Guard RFID Solutions Inc.
0xFCE7;TKH Security B.V.
0xFCE8;ITT Industries
0xFCE9;MindRhythm, Inc.
0xFCEA;Chess Wise B.V.
0xFCEB;Avi-On
0xFCEC;Griffwerk GmbH
0xFCED;Workaround GmbH
0xFCEE;Velentium, LLC
0xFCEF;Divesoft s.r.o.
0xFCF0;Security Enhancement Systems, LLC
0xFCF1;Google LLC
0xFCF2;Bitwards Oy
0xFCF3;Armatura LLC
0xFCF4;Allegion
0xFCF5;Trident Communication Technology, LLC
0xFCF6;The Linux Foundation
0xFCF7;Honor Device Co. Ltd.
0xFCF8;Honor Device Co. Ltd.
0xFCF9;Leupold & Stevens, Inc.
0xFCFA;Leupold & Stevens, Inc.
0xFCFB;Shenzhen Benwei Media Co. Ltd.
0xFCFC;Barrot Technology Limited
0xFCFD;Barrot Technology Limited
0xFCFE;Sennheiser Consumer Audio GmbH
0xFCFF;701x
0xFD00;FUTEK Advanced Sensor Technology, Inc.
0xFD01;Sanvita Medical Corporation
0xFD02;LEGO System A/S
0xFD03;Quuppa Oy
0xFD04;Shure Inc.
0xFD05;Qualcomm Technologies, Inc.
0xFD06;RACE-AI LLC
0xFD07;Swedlock AB
0xFD08;Bull Group Incorporated Company
0xFD09;Cousins and Sears LLC
0xFD0A;Luminostics, Inc.
0xFD0B;Luminostics, Inc.
0xFD0C;OSM HK Limited
0xFD0D;Blecon Ltd
0xFD0E;HerdDogg, Inc
0xFD0F;AEON MOTOR CO.,LTD.
0xFD10;AEON MOTOR CO.,LTD.
0xFD11;AEON MOTOR CO.,LTD.
0xFD12;AEON MOTOR CO.,LTD.
0xFD13;BRG Sports, Inc.
0xFD14;BRG Sports, Inc.
0xFD15;Panasonic Corporation
0xFD16;Sensitech, Inc.
0xFD17;LEGIC Identsystems AG
0xFD18;LEGIC Identsystems AG
0xFD19;Smith & Nephew Medical Limited
0xFD1A;CSIRO
0xFD1B;Helios Sports, Inc.
